2016-05-13-:-a4d0dff1-8a2e-0500-11c3-ae4014a64d42	1, 51, 4, 47, 42, 39, 52, 47, 18, 47, 18, 16, 47, 47, 9, 47, 9, 12, 10, 9, 7, 9, 10, 11, 13, 11, 1, 11, 13, 12, 13, 12, 47, 41, 39, 52, 41, 47, 40, 47, 40, 24, 40, 23, 52, 45, 44, 46, 42, 42, 46, 49, 46, 28, 49, 46, 42, 49, 47, 51, 47, 4, 3, 5, 5, 3, 6, 4, 3, 4, 47, 42, 46, 49, 28, 32, 28, 32, 31, 32, 31, 38, 37, 38, 32, 31, 32, 30, 29, 20, 30, 20, 24, 20, 18, 19, 18, 40, 52, 39, 52, 39, 42, 49, 48, 50, 50
2016-05-14-:-79788731-c932-0500-14ce-4440e28c4a42	1, 51, 4, 47, 6, 8, 47, 16, 47, 40, 24, 20, 21, 20, 22, 30, 34, 22, 33, 34, 32, 38, 32, 49, 32, 28, 49, 46, 44, 45, 52, 40, 47, 19, 21, 19, 18, 40, 47, 41, 47, 47, 16, 47, 18, 40, 52, 39, 47, 42, 39, 45, 27, 32, 25, 30, 25, 29, 30, 32, 30, 29, 30, 32, 27, 25, 27, 32, 31, 32, 31, 26, 31, 26, 31, 26, 31, 32, 49, 38, 32, 38, 32, 38, 32, 38, 32, 38, 32, 38, 32, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 38, 37, 50, 37, 50, 37, 37, 50
2016-05-14-:-a4d0dff1-8a2e-0500-11c3-ae4014a64d42	51, 4, 3, 5, 6, 47, 42, 1, 42, 1, 42, 1, 42, 47, 42, 47, 42, 1, 42, 47, 39, 52, 39, 47, 8, 47, 6, 5, 6, 47, 6, 47, 6, 8, 7, 10, 11, 10, 12, 13, 15, 17, 19, 18, 20, 24, 52, 23, 52, 45, 44, 50, 44, 46, 49, 38, 32, 36, 35, 48, 49, 32, 31, 32, 49, 48, 51, 48, 50
2016-05-17-:-79788731-c932-0500-14ce-4440e28c4a42	2, 51, 4, 47, 42, 39, 42, 39, 42, 39, 47, 41, 52, 40, 52, 47, 40, 24, 40, 24, 23, 29, 23, 24, 23, 24, 20, 30, 29
2016-05-18-:-7185e765-0532-0500-3ece-4440df8c4a42	1, 2, 51, 49, 46, 44, 32, 31, 37, 35, 36, 32, 30, 34, 30, 34, 33, 34, 30, 29, 34, 33, 34, 33, 34, 22, 21, 20, 21, 13, 21, 20, 30, 29, 32, 31, 32, 49, 32, 31, 32, 27, 25, 27, 26, 44, 26, 45, 52, 45, 39, 42, 47, 42, 1
2016-05-18-:-79788731-c932-0500-14ce-4440e28c4a42	2, 51, 4, 6, 4, 6, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 6, 4, 6, 47, 42, 47, 6, 47, 42, 39, 47, 39, 47, 39, 52, 41, 47, 19, 18, 20, 24, 20, 24, 23, 29, 23, 30, 24, 23, 25, 30, 25, 27, 31, 26, 31, 32, 28, 49, 48, 49, 48, 49, 51, 1, 4, 51, 4, 3, 4, 3, 4, 51, 47, 4, 3, 4, 47, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 51, 51, 4, 4, 4, 4, 51, 4, 51, 4, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 4, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 3, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 4, 51, 4, 4, 4, 51, 4, 51, 4, 4, 51, 4, 47, 51, 47, 51
2016-05-18-:-d4adb0f1-1833-0500-a6ce-4440db8c4a42	2, 51, 4, 6, 47, 2, 42, 39, 52, 45, 52, 25, 45, 39, 52, 40, 52, 39, 47, 39, 47, 6, 47, 42, 4, 47, 51, 50, 2
2016-05-19-:-8802ca2d-0032-0500-909f-4440a7884a42	1, 2, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 3, 4, 51, 4, 51, 4, 4, 51, 4, 4, 4, 51, 4, 51, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 2, 4, 2, 4, 51, 4, 51, 50, 1
2016-05-19-:-9bdbf288-a131-0500-05ce-0e40227b4342	2, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 51, 51, 4, 51, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 50, 51, 4, 51, 4, 4, 4, 4, 4, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 1, 4, 51, 4, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 47, 42, 39, 52, 40, 47, 18, 19, 17, 16, 17, 15, 13, 15, 13, 1, 12, 9, 7, 12, 10, 11, 13, 15, 17, 19, 19, 21, 19, 21, 13, 21, 20, 30, 20, 22, 34, 33, 34, 30, 29, 33, 34, 32, 31, 32, 31, 32, 31, 32, 27, 45, 25, 52, 39, 52, 39, 52, 37, 16, 14, 14, 16, 47, 16, 47, 40, 24, 20, 24, 23, 27, 26, 27, 32, 30, 32, 31, 32, 31, 30, 29, 20, 24, 20, 18, 40, 47, 41, 39, 47, 41, 47, 8, 6, 4, 51, 4, 51, 4, 51, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 50, 50, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 51, 51, 51, 51, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 51, 4, 51, 4, 51, 4, 51, 4, 51, 4, 47, 6, 47, 39, 52, 41, 47, 18, 20, 24, 30, 29, 30, 1, 30, 32, 31, 26, 28, 49, 28, 49, 42, 47, 49, 51, 47, 49
2016-05-20-:-79788731-c932-0500-14ce-4440e28c4a42	2, 51, 4, 47, 42, 47, 6, 8, 7, 9, 10, 11, 10, 11, 13, 12, 13, 11, 7, 8, 47, 9, 12, 9, 8, 13, 15, 17, 19, 21, 21, 22, 21, 22, 21, 22, 21, 22, 21, 22, 34, 33, 33, 21, 33, 21, 33, 34, 32, 30, 32, 31, 32, 31, 32, 49, 48, 50, 2, 1, 51, 2, 51
